"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"23-Jun-2021","EQ","531.60","533.35","517.60","528.30","518.75","518.55","521.57","594.85","364.10",2099297,"1,094,935,866.30",38466
"22-Jun-2021","EQ","539.40","539.50","527.00","533.70","528.00","528.30","533.15","594.85","364.10",1954627,"1,042,099,993.25",25205
"21-Jun-2021","EQ","524.00","535.00","521.10","531.95","533.50","533.70","530.00","594.85","364.10",1769603,"937,892,022.60",35172
"18-Jun-2021","EQ","538.90","542.00","523.65","535.95","532.40","531.95","532.59","594.85","364.10",3697836,"1,969,417,731.65",56223
"17-Jun-2021","EQ","531.90","541.60","528.00","534.10","537.40","535.95","536.49","594.85","364.10",2144196,"1,150,332,813.75",39397
"16-Jun-2021","EQ","543.00","543.00","532.90","538.90","534.10","534.10","536.38","594.85","364.10",2363301,"1,267,629,910.15",37390
"15-Jun-2021","EQ","535.00","544.80","532.90","530.85","539.75","538.90","540.45","594.85","364.10",3313375,"1,790,725,633.35",45362
"14-Jun-2021","EQ","540.00","540.00","527.00","536.30","532.00","530.85","532.36","594.85","364.10",1679664,"894,185,691.75",23251
"11-Jun-2021","EQ","541.50","548.40","534.70","537.65","536.00","536.30","540.59","594.85","364.10",3236268,"1,749,503,105.55",54942
"10-Jun-2021","EQ","534.95","544.00","532.45","531.80","538.00","537.65","537.37","594.85","364.10",2343389,"1,259,255,684.60",35335
"09-Jun-2021","EQ","531.00","544.80","527.90","529.85","532.80","531.80","537.04","594.85","364.10",4242092,"2,278,161,697.70",63705
"08-Jun-2021","EQ","530.00","540.00","527.55","528.40","529.90","529.85","532.16","594.85","364.10",2910570,"1,548,901,360.05",57068
"07-Jun-2021","EQ","531.45","534.00","526.00","524.20","529.00","528.40","529.73","594.85","364.10",2760711,"1,462,444,721.10",41965
"04-Jun-2021","EQ","526.00","529.45","519.25","526.45","524.50","524.20","522.95","594.85","364.10",3250757,"1,699,974,111.50",45470
"03-Jun-2021","EQ","537.00","537.00","525.00","531.10","526.00","526.45","529.87","594.85","364.10",1970303,"1,044,005,093.80",47296
"02-Jun-2021","EQ","525.00","535.55","521.15","524.75","531.00","531.10","530.48","594.85","364.10",3911264,"2,074,855,903.90",49981
"01-Jun-2021","EQ","532.65","533.00","520.30","528.85","525.00","524.75","526.34","594.85","364.10",1920032,"1,010,597,723.00",34723
"31-May-2021","EQ","515.00","534.00","510.00","513.65","528.05","528.85","525.77","594.85","364.10",5437058,"2,858,632,198.50",72539
"28-May-2021","EQ","521.00","523.85","513.00","517.30","514.00","513.65","516.95","594.85","364.10",1740562,"899,790,216.10",35142
"27-May-2021","EQ","512.00","521.15","506.10","509.20","520.40","517.30","515.61","594.85","364.10",5677868,"2,927,589,018.70",61907
"26-May-2021","EQ","510.00","513.15","507.00","508.35","509.95","509.20","509.43","594.85","364.10",1632830,"831,807,639.45",25719
"25-May-2021","EQ","511.80","522.00","503.80","507.80","509.00","508.35","512.88","594.85","364.10",5470207,"2,805,580,555.70",85002
"24-May-2021","EQ","506.00","511.50","501.65","502.40","507.00","507.80","508.09","594.85","364.10",2425892,"1,232,578,190.55",29659
"21-May-2021","EQ","505.00","509.80","498.65","502.50","502.95","502.40","502.88","594.85","364.10",2729818,"1,372,781,577.25",44912
"20-May-2021","EQ","516.50","517.00","501.50","515.05","503.00","502.50","505.77","594.85","364.10",1962472,"992,554,639.20",70165
"19-May-2021","EQ","514.00","523.00","511.10","512.90","515.90","515.05","516.46","594.85","364.10",1556296,"803,771,686.75",26406
"18-May-2021","EQ","520.00","520.00","511.50","513.35","514.50","512.90","514.51","594.85","364.10",854792,"439,801,546.05",16915
"17-May-2021","EQ","511.65","517.90","507.25","511.65","513.30","513.35","511.28","594.85","364.10",1358115,"694,372,247.25",21256
"14-May-2021","EQ","520.00","522.75","510.60","517.25","511.50","511.65","515.61","594.85","364.10",1185436,"611,221,422.80",18096
"12-May-2021","EQ","525.00","530.40","516.15","525.55","518.85","517.25","520.60","594.85","364.10",1259727,"655,818,233.25",22675
"11-May-2021","EQ","516.00","529.40","511.65","516.60","525.95","525.55","524.37","594.85","364.10",2142940,"1,123,691,731.95",37938
"10-May-2021","EQ","515.35","524.55","515.35","515.10","517.00","516.60","519.01","594.85","364.10",1065234,"552,869,788.10",16740
"07-May-2021","EQ","525.00","530.00","513.40","519.85","515.25","515.10","519.77","594.85","364.10",1728437,"898,392,154.00",32182
"06-May-2021","EQ","514.15","522.00","507.70","508.50","520.00","519.85","514.48","594.85","364.10",1430439,"735,934,790.85",24223
"05-May-2021","EQ","508.40","515.60","504.00","503.20","506.50","508.50","508.95","594.85","364.10",1254283,"638,371,993.10",22921
"04-May-2021","EQ","503.80","512.00","501.15","500.85","502.50","503.20","505.95","594.85","364.10",1231586,"623,122,616.70",18719
"03-May-2021","EQ","504.95","508.65","495.75","508.95","501.00","500.85","499.63","594.85","364.10",1527271,"763,068,563.95",34388
"30-Apr-2021","EQ","500.00","522.95","497.50","505.25","509.00","508.95","513.48","594.85","364.10",2516221,"1,292,029,209.05",43597
"29-Apr-2021","EQ","513.95","514.70","503.40","510.65","505.00","505.25","507.59","594.85","364.10",657308,"333,642,499.90",16746
"28-Apr-2021","EQ","515.00","515.00","506.60","509.65","510.00","510.65","509.96","594.85","364.10",842391,"429,589,469.15",25678
"27-Apr-2021","EQ","508.80","514.95","506.00","508.80","509.05","509.65","509.09","594.85","364.10",724487,"368,828,964.35",15265
"26-Apr-2021","EQ","512.00","516.00","506.50","509.90","507.35","508.80","510.87","594.85","364.10",467414,"238,787,669.05",9697
"23-Apr-2021","EQ","508.00","517.50","505.45","511.95","510.70","509.90","512.67","594.85","364.10",1021681,"523,781,883.40",22490
"22-Apr-2021","EQ","502.00","513.85","496.00","504.20","513.85","511.95","506.80","594.85","364.10",1267346,"642,288,481.35",20767
"20-Apr-2021","EQ","502.00","514.00","500.00","498.10","504.00","504.20","507.35","594.85","364.10",1663453,"843,957,366.70",24196
"19-Apr-2021","EQ","501.00","503.90","487.20","515.15","497.50","498.10","496.80","594.85","364.10",1536072,"763,124,960.40",48248
