"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"08-Mar-2022","EQ","717.90","766.00","717.10","717.90","756.00","756.80","744.49","1,138.00","644.55",719788,"535,875,432.05",28376
"07-Mar-2022","EQ","715.00","729.75","705.40","741.40","718.00","717.90","719.07","1,138.00","644.55",404331,"290,744,075.35",15298
"04-Mar-2022","EQ","753.75","757.50","736.15","753.75","740.00","741.40","744.45","1,138.00","644.55",272029,"202,512,428.40",8789
"03-Mar-2022","EQ","760.90","768.70","745.30","754.85","751.00","753.75","756.12","1,138.00","644.55",348993,"263,880,125.55",11007
"02-Mar-2022","EQ","739.80","762.70","735.55","744.95","754.50","754.85","753.03","1,138.00","644.55",405545,"305,389,369.15",17803
"28-Feb-2022","EQ","754.00","781.70","735.45","760.20","744.60","744.95","759.07","1,138.00","644.55",589839,"447,728,663.10",22578
"25-Feb-2022","EQ","726.85","772.10","726.85","712.60","761.20","760.20","755.89","1,138.00","605.10",559488,"422,910,256.90",22197
"24-Feb-2022","EQ","725.20","745.00","682.00","769.45","725.00","712.60","727.39","1,138.00","605.10",640640,"465,994,335.55",20073
"23-Feb-2022","EQ","774.85","790.00","765.75","755.55","774.00","769.45","778.08","1,138.00","605.10",519182,"403,965,970.95",21578
"22-Feb-2022","EQ","758.00","765.00","742.10","786.00","755.05","755.55","755.18","1,138.00","605.10",534070,"403,321,580.30",19124
"21-Feb-2022","EQ","800.00","808.00","780.00","800.60","784.00","786.00","794.84","1,138.00","605.10",422401,"335,741,843.30",15681
"18-Feb-2022","EQ","800.70","818.00","792.00","800.70","803.00","800.60","808.33","1,138.00","605.10",460955,"372,602,245.05",15880
"17-Feb-2022","EQ","839.25","843.60","792.35","835.90","800.95","800.70","817.95","1,138.00","605.10",410043,"335,396,198.35",15423
"16-Feb-2022","EQ","840.00","850.00","830.15","838.05","835.40","835.90","840.21","1,138.00","605.10",361497,"303,734,520.35",13169
"15-Feb-2022","EQ","805.00","848.15","794.00","792.75","836.50","838.05","816.88","1,138.00","605.10",637049,"520,395,163.20",26924
"14-Feb-2022","EQ","829.90","833.60","782.60","848.60","792.00","792.75","811.72","1,138.00","605.10",437138,"354,832,611.50",20963
"11-Feb-2022","EQ","855.00","859.45","842.10","859.90","850.20","848.60","848.71","1,138.00","605.10",247192,"209,795,065.10",9966
"10-Feb-2022","EQ","867.10","870.05","850.40","862.60","859.25","859.90","859.93","1,138.00","605.10",288471,"248,064,507.60",11511
"09-Feb-2022","EQ","878.00","885.85","855.10","869.25","859.55","862.60","870.41","1,138.00","605.10",332555,"289,458,506.70",13038
"08-Feb-2022","EQ","895.80","900.00","856.25","888.30","870.00","869.25","874.18","1,138.00","605.10",408428,"357,038,020.20",18022
"07-Feb-2022","EQ","894.00","905.60","877.00","891.60","886.00","888.30","891.99","1,138.00","605.10",464194,"414,054,321.00",18378
"04-Feb-2022","EQ","912.00","918.65","885.30","907.25","888.00","891.60","902.35","1,138.00","562.50",509965,"460,167,908.35",17739
"03-Feb-2022","EQ","894.00","925.00","890.00","905.75","906.95","907.25","912.18","1,138.00","562.50",721734,"658,352,028.85",23188
"02-Feb-2022","EQ","897.95","918.00","895.05","891.10","907.05","905.75","905.53","1,138.00","562.50",553424,"501,143,916.55",15703
"01-Feb-2022","EQ","912.80","915.10","882.20","906.20","889.50","891.10","899.33","1,138.00","562.50",684151,"615,279,253.90",22126
"31-Jan-2022","EQ","905.00","927.80","895.00","897.00","904.05","906.20","908.88","1,138.00","562.50",866987,"787,987,623.05",27540
"28-Jan-2022","EQ","902.50","937.00","885.00","904.15","886.00","897.00","919.78","1,138.00","562.50",1279915,"1,177,236,631.50",44849
"27-Jan-2022","EQ","896.85","918.00","871.05","914.20","901.90","904.15","902.77","1,138.00","562.50",1723347,"1,555,793,284.40",52573
"25-Jan-2022","EQ","842.35","923.95","837.65","841.80","906.00","914.20","899.63","1,138.00","562.50",3319156,"2,986,000,334.35",105679
"24-Jan-2022","EQ","922.00","935.15","820.10","936.35","834.20","841.80","876.53","1,138.00","562.50",1947836,"1,707,344,815.75",64201
"21-Jan-2022","EQ","923.85","957.55","901.80","924.40","937.00","936.35","931.58","1,138.00","562.50",5541681,"5,162,501,463.45",147688
"20-Jan-2022","EQ","820.00","939.90","818.10","815.10","930.00","924.40","910.41","1,138.00","562.50",12929914,"11,771,516,389.00",313342
"19-Jan-2022","EQ","804.50","832.70","790.00","839.60","813.00","815.10","813.65","1,138.00","562.50",1646916,"1,340,012,847.40",48398
"18-Jan-2022","EQ","886.05","888.50","835.00","881.10","838.00","839.60","860.78","1,138.00","562.50",598360,"515,059,215.15",18556
"17-Jan-2022","EQ","880.55","891.00","865.20","880.55","876.00","881.10","878.60","1,138.00","562.50",709649,"623,498,815.95",18112
"14-Jan-2022","EQ","865.00","911.90","860.05","867.00","884.00","880.55","894.66","1,138.00","562.50",2159075,"1,931,632,165.35",54869
"13-Jan-2022","EQ","874.00","888.00","854.25","876.05","865.00","867.00","867.39","1,138.00","562.50",826303,"716,726,881.35",21791
"12-Jan-2022","EQ","873.20","884.00","863.15","862.45","872.50","876.05","873.16","1,138.00","562.50",1095325,"956,389,987.40",28863
"11-Jan-2022","EQ","808.00","903.00","805.55","810.85","862.20","862.45","875.72","1,138.00","562.50",6014799,"5,267,305,190.55",169198
"10-Jan-2022","EQ","808.65","815.50","800.45","808.65","810.45","810.85","810.09","1,138.00","562.50",492257,"398,774,073.40",14377
"07-Jan-2022","EQ","810.80","821.50","802.10","801.65","806.00","808.65","812.82","1,138.00","562.50",564532,"458,864,519.25",13912
